0,17,2,9,24,28,29,14,28,13,23,10,15,23,15,18,11,4,27,5
17,0,9,3,0,14,1,0,27,20,16,24,29,6,0,15,20,1,11,9
2,9,0,21,21,29,13,19,16,1,11,4,12,0,26,5,25,12,5,24
9,3,21,0,11,0,22,22,12,16,0,22,1,12,0,14,15,23,27,28
24,0,21,11,0,25,0,1,1,5,0,24,29,9,4,2,5,0,10,10
28,14,29,0,25,0,1,17,22,7,20,7,22,16,11,22,2,23,1,20
29,1,13,22,0,1,0,0,18,7,0,4,18,11,14,5,24,5,13,0
14,0,19,22,1,17,0,0,27,7,2,5,0,29,16,25,8,19,26,23
28,27,16,12,1,22,18,27,0,3,3,26,9,25,16,7,4,23,7,0
13,20,1,16,5,7,7,7,3,0,0,23,3,3,28,24,12,20,25,25
23,16,11,0,0,20,0,2,3,0,0,0,27,13,25,2,3,4,4,15
10,24,4,22,24,7,4,5,26,23,0,0,1,0,1,20,20,22,19,28
15,29,12,1,29,22,18,0,9,3,27,1,0,23,6,9,28,1,6,13
23,6,0,12,9,16,11,29,25,3,13,0,23,0,5,19,18,4,16,12
15,0,26,0,4,11,14,16,16,28,25,1,6,5,0,6,27,15,1,28
18,15,5,14,2,22,5,25,7,24,2,20,9,19,6,0,23,21,28,2
11,20,25,15,5,2,24,8,4,12,3,20,28,18,27,23,0,9,11,12
4,1,12,23,0,23,5,19,23,20,4,22,1,4,15,21,9,0,20,9
27,11,5,27,10,1,13,26,7,25,4,19,6,16,1,28,11,20,0,11
5,9,24,28,10,20,0,23,0,25,15,28,13,12,28,2,12,9,11,0
